row,item,version,letter,sentence,sentence_spr,im_jahr,year,future,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp,full_sentence,condition,list,life_status,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,year_time,fact_time,year_fact
130,25,99,b,99b,"Im Jahr*1975*werde ich*das Lied*„I Shot The Sheriff“*herausbringen,*das stellte*John Lennon*bei einer Pressekonferenz fest.",Im Jahr,1975,werde ich,das,Das,Lied,„,I Shot The Sheriff,“,herausbringen,",",das stellte,John Lennon,John Lennon,Bob Marley,yes,bei einer Pressekonferenz fest.,"Im Jahr 1975 werde ich das Lied ""I Shot The Sheriff"" herausbringen, das stellte John Lennon bei einer Pressekonferenz fest.",fact mismatch,12,dead,F,J,match,mismatch,critical,AP,Musicians,John_Lennon.jpg,old,old,match
131,26,101,a,101a,"Im Jahr*1990*werde ich*in dem Film*„Kevin - Allein zu Haus“*auftreten,*das versicherte*Macaulay Culkin*den Medien.",Im Jahr,1990,werde ich,in dem,Der,Film,„,Kevin - Allein zu Haus,“,auftreten,",",das versicherte,Kevin Costner,Macaulay Culkin,Kevin Costner,no,den Medien.,"Im Jahr 1990 werde ich in dem Film ""Kevin - Allein zu Haus"" auftreten, das versicherte Macaulay Culkin den Medien.",full match,12,alive,F,J,match,match,critical,PM,Actors,Macaulay_Culkin.jpg,new,new,match
132,26,103,a,103a,"Im Jahr*1955*werde ich*in dem Film*„Stadt in Angst“*auftreten,*das versicherte*Spencer Tracy*den Medien.",Im Jahr,1955,werde ich,in dem,Der,Film,„,Stadt in Angst,“,auftreten,",",das versicherte,Grace Kelly,Spencer Tracy,Grace Kelly,no,den Medien.,"Im Jahr 1955 werde ich in dem Film ""Stadt in Angst"" auftreten, das versicherte Spencer Tracy den Medien.",full match,12,dead,F,J,match,match,critical,PM,Actors,Spencer_Tracy.jpg,old,old,match
133,27,106,d,106d,"Im Jahr*2017*werde ich*das Lied*„Cream“*aufnehmen,*das berichtete*Freddie Mercury*auf einer Aftershowparty.",Im Jahr,2017,werde ich,das,Das,Lied,„,Cream,“,aufnehmen,",",das berichtete,Freddie Mercury,Freddie Mercury,Prince,yes,auf einer Aftershowparty.,"Im Jahr 2017 werde ich das Lied ""Cream"" aufnehmen, das berichtete Freddie Mercury auf einer Aftershowparty.",life-fact mismatch,12,dead,F,J,mismatch,mismatch,critical,PM,Musicians,Freddie_Mercury.jpg,new,old,mismatch
134,27,108,d,108d,"Im Jahr*1991*werde ich*das Lied*„Shape of You“*aufnehmen,*das berichtete*Harry Styles*auf einer Aftershowparty.",Im Jahr,1991,werde ich,das,Das,Lied,„,Shape of You,“,aufnehmen,",",das berichtete,Harry Styles,Harry Styles,Ed Sheeran,yes,auf einer Aftershowparty.,"Im Jahr 1991 werde ich das Lied ""Shape of You"" aufnehmen, das berichtete Harry Styles auf einer Aftershowparty.",life-fact mismatch,12,alive,F,J,mismatch,mismatch,critical,PM,Musicians,Harry_Styles.jpg,new,new,match
135,28,110,c,110c,"Im Jahr*2016*werde ich*das Buch*„Woyzeck“*fertigstellen,*das teilte*Georg Büchner*der Presse mit.",Im Jahr,2016,werde ich,das,Das,Buch,„,Woyzeck,“,fertigstellen,",",das teilte,Charles Dickens,Georg Büchner,Charles Dickens,no,der Presse mit.,"Im Jahr 2016 werde ich das Buch ""Woyzeck"" fertigstellen, das teilte Georg Büchner der Presse mit.",life mismatch,12,dead,F,J,mismatch,match,critical,PM,Authors,Georg_Buechner.jpg,new,old,mismatch
136,28,112,c,112c,"Im Jahr*1837*werde ich*das Buch*„Totenfang“*fertigstellen,*das teilte*Simon Beckett*der Presse mit.",Im Jahr,1837,werde ich,das,Das,Buch,„,Totenfang,“,fertigstellen,",",das teilte,Benjamin von Stuckrad-Barre,Simon Beckett,Benjamin von Stuckrad-Barre,no,der Presse mit.,"Im Jahr 1837 werde ich das Buch ""Totenfang"" fertigstellen, das teilte Simon Beckett der Presse mit.",life mismatch,12,alive,F,J,mismatch,match,critical,PM,Authors,Simon_Beckett.jpg,old,new,mismatch
137,29,114,b,114b,"Im Jahr*2013*werde ich*das Lied*„Gangnam Style“*veröffentlichen,*das äußerte*Helene Fischer*gegenüber interessierten Fans.",Im Jahr,2013,werde ich,das,Das,Lied,„,Gangnam Style,“,veröffentlichen,",",das äußerte,Helene Fischer,Helene Fischer,Psy,yes,gegenüber interessierten Fans.,"Im Jahr 2013 werde ich das Lied ""Gangnam Style"" veröffentlichen, das äußerte Helene Fischer gegenüber interessierten Fans.",fact mismatch,12,alive,F,J,match,mismatch,critical,AP,Musicians,Helene_Fischer.jpg,new,new,match
138,29,116,b,116b,"Im Jahr*1967*werde ich*das Lied*„What a Wonderful World“*veröffentlichen,*das äußerte*Marlene Dietrich*gegenüber interessierten Fans.",Im Jahr,1967,werde ich,das,Das,Lied,„,What a Wonderful World,“,veröffentlichen,",",das äußerte,Marlene Dietrich,Marlene Dietrich,Louis Armstrong,yes,gegenüber interessierten Fans.,"Im Jahr 1967 werde ich das Lied ""What a Wonderful World"" veröffentlichen, das äußerte Marlene Dietrich gegenüber interessierten Fans.",fact mismatch,12,dead,F,J,match,mismatch,critical,AP,Musicians,Marlene_Dietrich.jpg,old,old,match
139,30,118,a,118a,"Im Jahr*2011*werde ich*das Lied*„Bloody Mary“*herausbringen,*das schilderte*Lady Gaga*in einem Interview.",Im Jahr,2011,werde ich,das,Das,Lied,„,Bloody Mary,“,herausbringen,",",das schilderte,Carly Rae Jepsen,Lady Gaga,Carly Rae Jepsen,no,in einem Interview.,"Im Jahr 2011 werde ich das Lied ""Bloody Mary"" herausbringen, das schilderte Lady Gaga in einem Interview.",full match,12,alive,F,J,match,match,critical,AP,Musicians,Lady_Gaga.jpg,new,new,match
140,30,120,a,120a,"Im Jahr*1954*werde ich*das Lied*„Love Me Tender“*herausbringen,*das schilderte*Elvis Presley*in einem Interview.",Im Jahr,1954,werde ich,das,Das,Lied,„,Love Me Tender,“,herausbringen,",",das schilderte,Billie Holiday,Elvis Presley,Billie Holiday,no,in einem Interview.,"Im Jahr 1954 werde ich das Lied ""Love Me Tender"" herausbringen, das schilderte Elvis Presley in einem Interview.",full match,12,dead,F,J,match,match,critical,AP,Musicians,Elvis_Presley.jpg,old,old,match
141,31,121,d,121d,"Im Jahr*2010*werde ich*das Lied*„I Put a Spell on You“*aufnehmen,*das behauptete*Bob Dylan*auf einer Aftershowparty.",Im Jahr,2010,werde ich,das,Das,Lied,„,I Put a Spell on You,“,aufnehmen,",",das behauptete,Bob Dylan,Bob Dylan,Nina Simone,yes,auf einer Aftershowparty.,"Im Jahr 2010 werde ich das Lied ""I Put a Spell on You"" aufnehmen, das behauptete Bob Dylan auf einer Aftershowparty.",life-fact mismatch,12,dead,F,J,mismatch,mismatch,critical,AP,Musicians,Bob_Dylan.png,new,old,mismatch
142,31,123,d,123d,"Im Jahr*1965*werde ich*das Lied*„Love the Way You Lie“*aufnehmen,*das behauptete*Shakira*auf einer Aftershowparty.",Im Jahr,1965,werde ich,das,Das,Lied,„,Love the Way You Lie,“,aufnehmen,",",das behauptete,Shakira,Shakira,Rihanna,yes,auf einer Aftershowparty.,"Im Jahr 1965 werde ich das Lied ""Love the Way You Lie"" aufnehmen, das behauptete Shakira auf einer Aftershowparty.",life-fact mismatch,12,alive,F,J,mismatch,mismatch,critical,AP,Musicians,Shakira.jpg,old,new,mismatch
143,32,125,c,125c,"Im Jahr*2012*werde ich*in dem Film*„Meuterei auf der Bounty“*mitspielen,*das verkündete*Marlon Brando*der Öffentlichkeit.",Im Jahr,2012,werde ich,in dem,Der,Film,„,Meuterei auf der Bounty,“,mitspielen,",",das verkündete,Alec Guinness,Marlon Brando,Alec Guinness,no,der Öffentlichkeit.,"Im Jahr 2012 werde ich in dem Film ""Meuterei auf der Bounty"" mitspielen, das verkündete Marlon Brando der Öffentlichkeit.",life mismatch,12,dead,F,J,mismatch,match,critical,PM,Actors,Marlon_Brando.jpg,new,old,mismatch
144,32,127,c,127c,"Im Jahr*1962*werde ich*in dem Film*„Django Unchained“*mitspielen,*das verkündete*Jamie Foxx*der Öffentlichkeit.",Im Jahr,1962,werde ich,in dem,Der,Film,„,Django Unchained,“,mitspielen,",",das verkündete,Daniel Craig,Jamie Foxx,Daniel Craig,no,der Öffentlichkeit.,"Im Jahr 1962 werde ich in dem Film ""Django Unchained"" mitspielen, das verkündete Jamie Foxx der Öffentlichkeit.",life mismatch,12,alive,F,J,mismatch,match,critical,PM,Actors,Jamie_Foxx.jpg,old,new,mismatch
145,33,129,b,129b,"Im Jahr*2001*werde ich*das Buch*„Die Korrekturen“*publizieren,*das meinte*Yann Martel*nach einer Lesung.",Im Jahr,2001,werde ich,das,Das,Buch,„,Die Korrekturen,“,publizieren,",",das meinte,Yann Martel,Yann Martel,Jonathan Franzen,yes,nach einer Lesung.,"Im Jahr 2001 werde ich das Buch ""Die Korrekturen"" publizieren, das meinte Yann Martel nach einer Lesung.",fact mismatch,12,alive,F,J,match,mismatch,critical,PM,Authors,Yann_Martel.jpg,new,new,match
146,33,131,b,131b,"Im Jahr*1847*werde ich*das Buch*„Jane Eyre“*publizieren,*das meinte*Friedrich Engels*nach einer Lesung.",Im Jahr,1847,werde ich,das,Das,Buch,„,Jane Eyre,“,publizieren,",",das meinte,Friedrich Engels,Friedrich Engels,Charlotte Brontë,yes,nach einer Lesung.,"Im Jahr 1847 werde ich das Buch ""Jane Eyre"" publizieren, das meinte Friedrich Engels nach einer Lesung.",fact mismatch,12,dead,F,J,match,mismatch,critical,PM,Authors,Friedrich_Engels.jpg,old,old,match
147,34,133,a,133a,"Im Jahr*2000*werde ich*das Buch*„Harry Potter und der Feuerkelch“*abschließen,*das erzählte*J.K. Rowling*auf Nachfrage.",Im Jahr,2000,werde ich,das,Das,Buch,„,Harry Potter und der Feuerkelch,“,abschließen,",",das erzählte,Dan Brown,J.K. Rowling,Dan Brown,no,auf Nachfrage.,"Im Jahr 2000 werde ich das Buch ""Harry Potter und der Feuerkelch"" abschließen, das erzählte J.K. Rowling auf Nachfrage.",full match,12,alive,F,J,match,match,critical,PM,Authors,JK_Rowling.jpg,new,new,match
148,34,135,a,135a,"Im Jahr*1865*werde ich*das Buch*„Alice im Wunderland“*abschließen,*das erzählte*Lewis Carroll*auf Nachfrage.",Im Jahr,1865,werde ich,das,Das,Buch,„,Alice im Wunderland,“,abschließen,",",das erzählte,Wilhelm Busch,Lewis Carroll,Wilhelm Busch,no,auf Nachfrage.,"Im Jahr 1865 werde ich das Buch ""Alice im Wunderland"" abschließen, das erzählte Lewis Carroll auf Nachfrage.",full match,12,dead,F,J,match,match,critical,PM,Authors,Lewis_Carroll.jpg,old,old,match
149,35,138,d,138d,"Im Jahr*1996*werde ich*das Buch*„Die Judenbuche“*fertigstellen,*das stellte*Nikolai Gogol*in einer Fragerunde fest.",Im Jahr,1996,werde ich,das,Das,Buch,„,Die Judenbuche,“,fertigstellen,",",das stellte,Nikolai Gogol,Nikolai Gogol,Annette von Droste-Hülshoff,yes,in einer Fragerunde fest.,"Im Jahr 1996 werde ich das Buch ""Die Judenbuche"" fertigstellen, das stellte Nikolai Gogol in einer Fragerunde fest.",life-fact mismatch,12,dead,F,J,mismatch,mismatch,critical,PM,Authors,Nikolai_Gogol.jpg,new,old,mismatch
150,35,140,d,140d,"Im Jahr*1842*werde ich*das Buch*„Infinite Jest“*fertigstellen,*das stellte*George R.R. Martin*in einer Fragerunde fest.",Im Jahr,1842,werde ich,das,Das,Buch,„,Infinite Jest,“,fertigstellen,",",das stellte,George R.R. Martin,George R.R. Martin,David Foster Wallace,yes,in einer Fragerunde fest.,"Im Jahr 1842 werde ich das Buch ""Infinite Jest"" fertigstellen, das stellte George R.R. Martin in einer Fragerunde fest.",life-fact mismatch,12,alive,F,J,mismatch,mismatch,critical,PM,Authors,George_RR_Martin.jpg,old,new,mismatch
151,36,142,c,142c,"Im Jahr*2009*werde ich*in dem Film*„Superman 2“*zu sehen sein,*das versicherte*Christopher Reeve*einem Reporter.",Im Jahr,2009,werde ich,in dem,Der,Film,„,Superman 2,“,zu sehen sein,",",das versicherte,John Belushi,Christopher Reeve,John Belushi,no,einem Reporter.,"Im Jahr 2009 werde ich in dem Film ""Superman 2"" zu sehen sein, das versicherte Christopher Reeve einem Reporter.",life mismatch,12,dead,F,J,mismatch,match,critical,PM,Actors,Christopher_Reeve.jpg,new,old,mismatch
152,36,144,c,144c,"Im Jahr*1980*werde ich*in dem Film*„Twilight: New Moon“*zu sehen sein,*das versicherte*Taylor Lautner*einem Reporter.",Im Jahr,1980,werde ich,in dem,Der,Film,„,Twilight: New Moon,“,zu sehen sein,",",das versicherte,Chris Pine,Taylor Lautner,Chris Pine,no,einem Reporter.,"Im Jahr 1980 werde ich in dem Film ""Twilight: New Moon"" zu sehen sein, das versicherte Taylor Lautner einem Reporter.",life mismatch,12,alive,F,J,mismatch,match,critical,PM,Actors,Taylor_Lautner.jpg,old,new,mismatch
153,37,146,b,146b,"Im Jahr*2018*werde ich*das Buch*„Aufklärung jetzt!“*publizieren,*das berichtete*Jordan Peterson*einer Journalistin.",Im Jahr,2018,werde ich,das,Das,Buch,„,Aufklärung jetzt!,“,publizieren,",",das berichtete,Jordan Peterson,Jordan Peterson,Steven Pinker,yes,einer Journalistin.,"Im Jahr 2018 werde ich das Buch ""Aufklärung jetzt!"" publizieren, das berichtete Jordan Peterson einer Journalistin.",fact mismatch,12,alive,F,J,match,mismatch,critical,PM,Authors,Jordan_Peterson.jpg,new,new,match
154,37,148,b,148b,"Im Jahr*1844*werde ich*das Buch*„Deutschland. Ein Wintermärchen“*publizieren,*das berichtete*Alexandre Dumas*einer Journalistin.",Im Jahr,1844,werde ich,das,Das,Buch,„,Deutschland. Ein Wintermärchen,“,publizieren,",",das berichtete,Alexandre Dumas,Alexandre Dumas,Heinrich Heine,yes,einer Journalistin.,"Im Jahr 1844 werde ich das Buch ""Deutschland. Ein Wintermärchen"" publizieren, das berichtete Alexandre Dumas einer Journalistin.",fact mismatch,12,dead,F,J,match,mismatch,critical,PM,Authors,Alexandre_Dumas.jpg,old,old,match
155,38,150,a,150a,"Im Jahr*2003*werde ich*das Lied*„Cry Me a River“*veröffentlichen,*das teilte*Justin Timberlake*einer Nachrichtenagentur mit.",Im Jahr,2003,werde ich,das,Das,Lied,„,Cry Me a River,“,veröffentlichen,",",das teilte,Beyoncé,Justin Timberlake,Beyoncé,no,einer Nachrichtenagentur mit.,"Im Jahr 2003 werde ich das Lied ""Cry Me a River"" veröffentlichen, das teilte Justin Timberlake einer Nachrichtenagentur mit.",full match,12,alive,F,J,match,match,critical,AP,Musicians,Justin_Timberlake.jpg,new,new,match
156,38,152,a,152a,"Im Jahr*1968*werde ich*das Lied*„Hello“*veröffentlichen,*das teilte*Jim Morrison*einer Nachrichtenagentur mit.",Im Jahr,1968,werde ich,das,Das,Lied,„,Hello,“,veröffentlichen,",",das teilte,Jimi Hendrix,Jim Morrison,Jimi Hendrix,no,einer Nachrichtenagentur mit.,"Im Jahr 1968 werde ich das Lied ""Hello"" veröffentlichen, das teilte Jim Morrison einer Nachrichtenagentur mit.",full match,12,dead,F,J,match,match,critical,AP,Musicians,Jim_Morrison.jpg,old,old,match
157,39,153,d,153d,"Im Jahr*2012*werde ich*das Lied*„Mercedes Benz“*herausbringen,*das äußerte*George Harrison*auf einer Aftershowparty.",Im Jahr,2012,werde ich,das,Das,Lied,„,Mercedes Benz,“,herausbringen,",",das äußerte,George Harrison,George Harrison,Janis Joplin,yes,auf einer Aftershowparty.,"Im Jahr 2012 werde ich das Lied ""Mercedes Benz"" herausbringen, das äußerte George Harrison auf einer Aftershowparty.",life-fact mismatch,12,dead,F,J,mismatch,mismatch,critical,AP,Musicians,George_Harrison.jpg,new,old,mismatch
158,39,155,d,155d,"Im Jahr*1970*werde ich*das Lied*„Summertime Sadness“*herausbringen,*das äußerte*Gotye*auf einer Aftershowparty.",Im Jahr,1970,werde ich,das,Das,Lied,„,Summertime Sadness,“,herausbringen,",",das äußerte,Gotye,Gotye,Lana Del Ray,yes,auf einer Aftershowparty.,"Im Jahr 1970 werde ich das Lied ""Summertime Sadness"" herausbringen, das äußerte Gotye auf einer Aftershowparty.",life-fact mismatch,12,alive,F,J,mismatch,mismatch,critical,AP,Musicians,Gotye.jpg,old,new,mismatch
159,40,157,c,157c,"Im Jahr*1993*werde ich*das Musikstück*„Der Ring des Nibelungen“*komponieren,*das schilderte*Richard Wagner*der Fachpresse.",Im Jahr,1993,werde ich,das,Das,Musikstück,„,Der Ring des Nibelungen,“,komponieren,",",das schilderte,Johannes Brahms,Richard Wagner,Johannes Brahms,no,der Fachpresse.,"Im Jahr 1993 werde ich das Musikstück ""Der Ring des Nibelungen"" komponieren, das schilderte Richard Wagner der Fachpresse.",life mismatch,12,dead,F,J,mismatch,match,critical,PM,Musicians,Richard_Wagner.jpg,new,old,mismatch
160,40,159,c,159c,"Im Jahr*1869*werde ich*das Musikstück*„Jurassic Park Soundtrack“*komponieren,*das schilderte*John Williams*der Fachpresse.",Im Jahr,1869,werde ich,das,Das,Musikstück,„,Jurassic Park Soundtrack,“,komponieren,",",das schilderte,Meat Loaf,John Williams,Meat Loaf,no,der Fachpresse.,"Im Jahr 1869 werde ich das Musikstück ""Jurassic Park Soundtrack"" komponieren, das schilderte John Williams der Fachpresse.",life mismatch,12,alive,F,J,mismatch,match,critical,PM,Musicians,John_Williams.jpg,old,new,mismatch
161,1,1,c,1c,"Im Jahr*2001*werde ich*in dem Film*„Der Zauberer von Oz“*auftreten,*das behauptete*Judy Garland*in einem Interview.",Im Jahr,2001,werde ich,in dem,Der,Film,„,Der Zauberer von Oz,“,auftreten,",",das behauptete,Judy Garland,Judy Garland,Humphrey Bogart,yes,in einem Interview.,"Im Jahr 2001 werde ich in dem Film ""Der Zauberer von Oz"" auftreten, das behauptete Judy Garland in einem Interview.",life mismatch,13,dead,F,J,mismatch,match,critical,DP,Actors,Judy_Garland.jpg,new,old,mismatch
162,1,3,c,3c,"Im Jahr*1939*werde ich*in dem Film*„Harry Potter und der Stein der Weisen“*auftreten,*das behauptete*Emma Watson*in einem Interview.",Im Jahr,1939,werde ich,in dem,Der,Film,„,Harry Potter und der Stein der Weisen,“,auftreten,",",das behauptete,Emma Watson,Emma Watson,Russell Crowe,yes,in einem Interview.,"Im Jahr 1939 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Emma Watson in einem Interview.",life mismatch,13,alive,F,J,mismatch,match,critical,DP,Actors,Emma_Watson.jpg,old,new,mismatch
163,2,5,b,5b,"Im Jahr*2018*werde ich*das Lied*„Je ne parle pas français“*aufnehmen,*das verkündete*Childish Gambino*gegenüber der Presse.",Im Jahr,2018,werde ich,das,Das,Lied,„,Je ne parle pas français,“,aufnehmen,",",das verkündete,Namika,Childish Gambino,Namika,no,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Je ne parle pas français"" aufnehmen, das verkündete Childish Gambino gegenüber der Presse.",fact mismatch,13,alive,F,J,match,mismatch,critical,DP,Musicians,Childish_Gambino.png,new,new,match
164,2,7,b,7b,"Im Jahr*1982*werde ich*das Lied*„Under Pressure“*aufnehmen,*das verkündete*Michael Jackson*gegenüber der Presse.",Im Jahr,1982,werde ich,das,Das,Lied,„,Under Pressure,“,aufnehmen,",",das verkündete,David Bowie,Michael Jackson,David Bowie,no,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Under Pressure"" aufnehmen, das verkündete Michael Jackson gegenüber der Presse.",fact mismatch,13,dead,F,J,match,mismatch,critical,DP,Musicians,Michael_Jackson.png,old,old,match
165,3,9,a,9a,"Im Jahr*1997*werde ich*in dem Film*„Batman & Robin“*mitspielen,*das meinte*George Clooney*zu einem Reporter.",Im Jahr,1997,werde ich,in dem,Der,Film,„,Batman & Robin,“,mitspielen,",",das meinte,George Clooney,George Clooney,Mike Myers,yes,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Batman & Robin"" mitspielen, das meinte George Clooney zu einem Reporter.",full match,13,alive,F,J,match,match,critical,DP,Actors,George_Clooney.jpg,new,new,match
166,3,11,a,11a,"Im Jahr*1940*werde ich*in dem Film*„...denn sie wissen nicht, was sie tun“*mitspielen,*das meinte*James Dean*zu einem Reporter.",Im Jahr,1940,werde ich,in dem,Der,Film,„,"...denn sie wissen nicht, was sie tun",“,mitspielen,",",das meinte,James Dean,James Dean,Clark Gable,yes,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""... denn sie wissen nicht"" mitspielen, das meinte James Dean zu einem Reporter.",full match,13,dead,F,J,match,match,critical,DP,Actors,James_Dean.jpg,old,old,match
167,4,14,d,14d,"Im Jahr*1985*werde ich*das Buch*„In einem andern Land“*schreiben,*das erzählte*Virginia Woolf*einer Tageszeitung.",Im Jahr,1985,werde ich,das,Das,Buch,„,In einem andern Land,“,schreiben,",",das erzählte,Ernest Hemingway,Virginia Woolf,Ernest Hemingway,no,einer Tageszeitung.,"Im Jahr 1985 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.",life-fact mismatch,13,dead,F,J,mismatch,mismatch,critical,DP,Authors,Virginia_Woolf.jpg,NA,old,NA
168,4,16,d,16d,"Im Jahr*1929*werde ich*das Buch*„The Handmaid's Tale“*schreiben,*das erzählte*Stephen King*einer Tageszeitung.",Im Jahr,1929,werde ich,das,Das,Buch,„,The Handmaid's Tale,“,schreiben,",",das erzählte,Margaret Atwood,Stephen King,Margaret Atwood,no,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Stephen King einer Tageszeitung.",life-fact mismatch,13,alive,F,J,mismatch,mismatch,critical,DP,Authors,Stephen_King.jpg,old,new,mismatch
169,5,18,c,18c,"Im Jahr*2000*werde ich*in dem Film*„Manche mögen's heiß“*zu sehen sein,*das stellte*Marilyn Monroe*in einem Interview fest.",Im Jahr,2000,werde ich,in dem,Der,Film,„,Manche mögen's heiß,“,zu sehen sein,",",das stellte,Marilyn Monroe,Marilyn Monroe,Jimmy Stewart,yes,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.",life mismatch,13,dead,F,J,mismatch,match,critical,DP,Actors,Marilyn_Monroe.jpg,new,old,mismatch
170,5,20,c,20c,"Im Jahr*1959*werde ich*in dem Film*„Pulp Fiction“*zu sehen sein,*das stellte*Uma Thurmann*in einem Interview fest.",Im Jahr,1959,werde ich,in dem,Der,Film,„,Pulp Fiction,“,zu sehen sein,",",das stellte,Uma Thurmann,Uma Thurmann,Kate Winslet,yes,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.",life mismatch,13,alive,F,J,mismatch,match,critical,DP,Actors,Uma_Thurman.jpg,old,new,mismatch
171,6,22,b,22b,"Im Jahr*2004*werde ich*bei dem Film*„Kill Bill – Volume 2“*Regie führen,*das versicherte*Edgar Wright*einem Reporter.",Im Jahr,2004,werde ich,bei dem,Der,Film,„,Kill Bill – Volume 2,“,Regie führen,",",das versicherte,Quentin Tarantino,Edgar Wright,Quentin Tarantino,no,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Kill Bill – Volume 2"" Regie führen, das versicherte Edgar Wright einem Reporter.",fact mismatch,13,alive,F,J,match,mismatch,critical,PM,Directors,Edgar_Wright.jpg,new,new,match
172,6,24,b,24b,"Im Jahr*1960*werde ich*bei dem Film*„Spartacus“*Regie führen,*das versicherte*Alfred Hitchcock*einem Reporter.",Im Jahr,1960,werde ich,bei dem,Der,Film,„,Spartacus,“,Regie führen,",",das versicherte,Stanley Kubrick,Alfred Hitchcock,Stanley Kubrick,no,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Spartacus"" Regie führen, das versicherte Alfred Hitchcock einem Reporter.",fact mismatch,13,dead,F,J,match,mismatch,critical,PM,Directors,Alfred_Hitchcock.jpg,old,old,match
173,7,26,a,26a,"Im Jahr*2020*werde ich*das Turnier im*Tennis*gewinnen,*das berichtete*Serena Williams*einer Nachrichtenagentur.",Im Jahr,2020,werde ich,das,Ein,Turnier im,,Tennis,,gewinnen,",",das berichtete,Serena Williams,Serena Williams,Lionel Messi,yes,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im ""Tennis"" gewinnen, das berichtete Serena Williams einer Nachrichtenagentur.",full match,13,alive,F,J,match,match,critical,PM,Athletes,Serena_Williams.jpg,new,new,match
174,7,28,a,28a,"Im Jahr*1975*werde ich*das Turnier im*Autorennen*gewinnen,*das berichtete*Niki Lauda*einer Nachrichtenagentur.",Im Jahr,1975,werde ich,das,Ein,Turnier im,,Autorennen,,gewinnen,",",das berichtete,Niki Lauda,Niki Lauda,Muhammad Ali,yes,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im ""Autorennen"" gewinnen, das berichtete Niki Lauda einer Nachrichtenagentur.",full match,13,dead,F,J,match,match,critical,PM,Athletes,Niki_Lauda.jpg,old,old,match
175,8,29,d,29d,"Im Jahr*2019*werde ich*in dem Film*„Cleopatra“*auftreten,*das teilte*Romy Schneider*einer Journalistin mit.",Im Jahr,2019,werde ich,in dem,Der,Film,„,Cleopatra,“,auftreten,",",das teilte,Elizabeth Taylor,Romy Schneider,Elizabeth Taylor,no,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Cleopatra"" auftreten, das teilte Romy Schneider einer Journalistin mit.",life-fact mismatch,13,dead,F,J,mismatch,mismatch,critical,AP,Actors,Romy_Schneider.jpg,new,old,mismatch
176,8,31,d,31d,"Im Jahr*1963*werde ich*in dem Film*„Once Upon a Time in Hollywood“*auftreten,*das teilte*Joaquin Phoenix*einer Journalistin mit.",Im Jahr,1963,werde ich,in dem,Der,Film,„,Once Upon a Time in Hollywood,“,auftreten,",",das teilte,Brad Pitt,Joaquin Phoenix,Brad Pitt,no,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Once Upon a Time in Hollywood"" auftreten, das teilte Joaquin Phoenix einer Journalistin mit.",life-fact mismatch,13,alive,F,J,mismatch,mismatch,critical,AP,Actors,Joaquin_Phoenix.jpg,old,new,mismatch
177,9,33,c,33c,"Im Jahr*1990*werde ich*in dem Film*„Dinner for One“*mitspielen,*das äußerte*May Warden*gegenüber den Medien.",Im Jahr,1990,werde ich,in dem,Der,Film,„,Dinner for One,“,mitspielen,",",das äußerte,May Warden,May Warden,Lex Barker,yes,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Dinner for One"" mitspielen, das äußerte May Warden gegenüber den Medien.",life mismatch,13,dead,F,J,mismatch,match,critical,AP,Actors,May_Warden.jpg,new,old,mismatch
178,9,35,c,35c,"Im Jahr*1963*werde ich*in dem Film*„Pretty Woman“*mitspielen,*das äußerte*Julia Roberts*gegenüber den Medien.",Im Jahr,1963,werde ich,in dem,Der,Film,„,Pretty Woman,“,mitspielen,",",das äußerte,Julia Roberts,Julia Roberts,Jonny Depp,yes,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Pretty Woman"" mitspielen, das äußerte Julia Roberts gegenüber den Medien.",life mismatch,13,alive,F,J,mismatch,match,critical,AP,Actors,Julia_Roberts.jpg,old,new,mismatch
